DeCodigo,DeNombre,Decade,Year,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
73,Tolima,1960,1961,12,12,13172519.4271357,18916219.3768844,5743699.9497487,186551292.678392,15545941.0565327,15600024.7537689,1658895.28685719,13172519.4271357,13172519.4271357,14039719.40201,16582895.8592964,2543176.4572864
85,Casanare,1960,1961,12,12,12758107.0335196,18594237.0391061,5836130.0055865,191503748.628492,15958645.719041,16247555.3240223,1503726.44247528,12758107.0335196,12758107.0335196,14964524.2486033,16946723.4986034,1982199.25
95,Guaviare,1960,1961,12,12,11978202.1135371,17284128.930131,5305926.8165939,177431243.08297,14785936.9235808,15030065.1484716,1684457.04038232,11978202.1135371,11978202.1135371,13434618.7882097,16096996.4519651,2662377.6637554
5,Antioquia,1960,1961,12,12,12457124.9784736,17022748.2896282,4565623.3111546,181256046.906067,15104670.5755056,15269505.1604697,1305708.68914847,12457124.9784736,12457124.9784736,14283887.5,16005066.9275929,1721179.42759295
15,Boyacá,1960,1961,12,12,13422092.5434783,18421874.9347826,4999782.3913043,189881776.456522,15823481.3713768,15994922.1847826,1331054.74797629,13422092.5434783,13422092.5434783,14817232.2880435,16456691.8043478,1639459.5163043
19,Cauca,1960,1961,12,12,11416618.7272727,16344352,4927733.2727273,160027929.387352,13335660.7822793,12991983.1205534,1553642.85563255,11416618.7272727,11416618.7272727,11893449.0750988,14463032.1581028,2569583.083004
23,Córdoba,1960,1961,12,12,12960162.3663366,16683274.9009901,3723112.5346535,173162026.039604,14430168.8366337,14277601.0247524,1027356.70743532,12960162.3663366,12960162.3663366,13633773.8663367,14872024.5742574,1238250.7079208
27,Chocó,1960,1961,12,12,9794045.23664122,15012985.8625954,5218940.62595418,134418317.101781,11201526.4251484,10630766.9821883,1399264.75045236,9794045.23664122,9794045.23664122,10304953.2633587,11797925.9262086,1492972.6628499
44,La Guajira,1960,1961,12,12,12551096.5987261,18285895.4267516,5734798.8280255,198884875.987261,16573739.6656051,17353011.9235668,1738404.14416108,12551096.5987261,12551096.5987261,15530351.0318471,17732299.3057325,2201948.27388535
47,Magdalena,1960,1961,12,12,12884409.5977654,17954664.6368715,5070255.0391061,185590550.581006,15465879.2150838,15250290.5921788,1439767.42906053,12884409.5977654,12884409.5977654,14932856.3240223,16270258.3743017,1337402.05027935
70,Sucre,1960,1961,12,12,12903716.6896552,17728104.9425287,4824388.2528735,183047410.965517,15253950.9137931,15009477.862069,1294981.11644176,12903716.6896552,12903716.6896552,14544358.2586207,15965218.6436782,1420860.38505745
76,Valle del Cauca,1960,1961,12,12,10199452.4912281,15459255.6023392,5259803.1111111,144143208.584795,12011934.0487329,11719904.374269,1424000.21519497,10199452.4912281,10199452.4912281,10934707.1578947,12873897.2719298,1939190.1140351
81,Arauca,1960,1961,12,12,11910607.5422886,17592236.0348259,5681628.4925373,182819110.373134,15234925.8644279,15486307.3084577,1427638.52022773,11910607.5422886,11910607.5422886,14422194.1094528,16241831.8109453,1819637.7014925
86,Putumayo,1960,1961,12,12,11432562.4134615,18902535.1346154,7469972.7211539,174016742.850962,14501395.2375801,14723224.2788462,2340803.38742647,11432562.4134615,11432562.4134615,12006678.3125,16482588.5673077,4475910.2548077
91,Amazonas,1960,1961,12,12,13071473.5865169,17552481.0539326,4481007.4674157,181131162.078652,15094263.5065543,15310000.0314607,1473462.37569155,13071473.5865169,13071473.5865169,13734576.8382022,16259424.0573034,2524847.21910115
13,Bolívar,1960,1961,12,12,12762729.1059908,17857777.5483871,5095048.4423963,185813896.764977,15484491.3970814,15635360.2119816,1409878.12825302,12762729.1059908,12762729.1059908,14648569.4516129,16301546.1705069,1652976.718894
